time,timestamp,solar_kw,wind_kw,load_kw,battery_soc_pct,battery_soh_pct,battery_resistance_growth,battery_power_kw,grid_kw,tariff_inr_kwh,cost_inr,cell_temperature_c,carbon_intensity_kg_kwh,carbon_emissions_kg,degradation_cost_inr,action,reason,decision_entropy,ig_attributions
2025-12-24 10:30:00+05:30,2025-12-24 10:30:00+05:30,57.226,0.399,65.358,20.0,99.997,1.004,0.0,7.733,5.6,51.631,25.27,0.598,4.626,5.199,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 25.3°C.,-0.478,"[0.0053, 0.0, 0.004, -0.006, -0.0, 0.0091, 0.0051, -0.0139, 0.0]"
2025-12-24 11:30:00+05:30,2025-12-24 11:30:00+05:30,68.879,0.5,70.341,20.0,99.997,1.004,0.0,0.962,5.6,6.362,25.95,0.563,0.542,5.443,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 26.0°C.,-0.478,"[0.0061, 0.0, 0.0047, -0.0061, -0.0, 0.0091, 0.0028, -0.0158, 0.0]"
2025-12-24 12:30:00+05:30,2025-12-24 12:30:00+05:30,68.719,0.681,65.25,20.0,99.997,1.004,0.0,0.0,5.6,0.0,26.38,0.55,0.0,5.602,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 26.4°C.,-0.478,"[0.0061, 0.0001, 0.004, -0.0062, -0.0, 0.0092, 0.0, -0.0165, 0.0]"
2025-12-24 13:30:00+05:30,2025-12-24 13:30:00+05:30,61.279,0.955,57.362,20.0,99.997,1.004,0.0,0.0,5.6,0.0,26.47,0.563,0.0,5.636,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 26.5°C.,-0.478,"[0.0057, 0.0001, 0.003, -0.0063, -0.0, 0.0092, -0.0031, -0.016, 0.0]"
2025-12-24 14:30:00+05:30,2025-12-24 14:30:00+05:30,50.417,1.382,67.974,20.0,99.997,1.004,0.0,16.175,5.6,107.996,26.13,0.598,9.676,5.51,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 26.1°C.,-0.478,"[0.0049, 0.0001, 0.0044, -0.0063, -0.0, 0.0092, -0.0063, -0.0141, 0.0]"
2025-12-24 15:30:00+05:30,2025-12-24 15:30:00+05:30,32.486,1.473,65.12,20.0,99.997,1.004,0.0,31.161,5.6,210.479,25.37,0.641,19.987,5.234,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 25.4°C.,-0.478,"[0.0034, 0.0001, 0.004, -0.0063, -0.0, 0.0092, -0.0092, -0.0113, 0.0]"
2025-12-24 16:30:00+05:30,2025-12-24 16:30:00+05:30,10.529,0.326,63.482,20.0,99.996,1.004,0.0,52.627,5.6,358.653,23.54,0.675,35.523,4.623,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 23.5°C.,-0.478,"[0.0012, 0.0, 0.0038, -0.0064, -0.0, 0.0091, -0.0116, -0.0077, 0.0]"
2025-12-24 17:30:00+05:30,2025-12-24 17:30:00+05:30,0.398,0.149,71.966,20.0,99.996,1.004,0.0,71.419,5.6,487.578,20.72,0.682,48.684,3.806,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 20.7°C.,-0.478,"[0.0, 0.0, 0.0048, -0.0063, -0.0, 0.0091, -0.0131, -0.0038, 0.0]"
2025-12-24 18:30:00+05:30,2025-12-24 18:30:00+05:30,0.0,0.235,82.435,20.0,99.996,1.004,0.0,82.2,9.2,852.414,19.69,0.65,53.43,3.541,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 19.7°C.,-0.478,"[0.0, 0.0, 0.0057, -0.0061, -0.0, 0.0218, -0.0134, 0.0, 0.0]"
2025-12-24 19:30:00+05:30,2025-12-24 19:30:00+05:30,0.0,0.281,86.42,20.0,99.996,1.004,0.0,86.139,9.2,882.119,18.96,0.578,49.8,3.364,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 19.0°C.,-0.478,"[0.0, 0.0, 0.0061, -0.0061, -0.0, 0.0216, -0.0128, 0.0034, 0.0]"
2025-12-24 20:30:00+05:30,2025-12-24 20:30:00+05:30,0.0,0.306,94.938,20.0,99.996,1.004,0.0,94.632,9.2,951.525,18.32,0.475,44.95,3.215,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 18.3°C.,-0.478,"[0.0, 0.0, 0.0069, -0.006, -0.0, 0.0214, -0.0113, 0.0062, 0.0]"
2025-12-24 21:30:00+05:30,2025-12-24 21:30:00+05:30,0.0,0.287,82.764,20.0,99.996,1.004,0.0,82.477,9.2,812.022,17.72,0.359,29.574,3.081,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 17.7°C.,-0.478,"[0.0, 0.0, 0.0057, -0.0059, -0.0, 0.0213, -0.0089, 0.0084, 0.0]"
2025-12-24 22:30:00+05:30,2025-12-24 22:30:00+05:30,0.0,0.246,72.753,20.0,99.996,1.004,0.0,72.507,2.6,221.381,17.18,0.252,18.257,2.965,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 17.2°C.,-0.478,"[0.0, 0.0, 0.0049, -0.006, -0.0, -0.0048, -0.0061, 0.0106, 0.0]"
2025-12-24 23:30:00+05:30,2025-12-24 23:30:00+05:30,0.0,0.194,55.974,20.0,99.996,1.004,0.0,55.78,2.6,162.791,16.72,0.177,9.868,2.869,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 16.7°C.,-0.478,"[0.0, 0.0, 0.0027, -0.006, -0.0, -0.0048, -0.003, 0.0116, 0.0]"
2025-12-25 00:00:00+05:30,2025-12-25 00:00:00+05:30,0.0,0.334,41.057,20.0,99.996,1.004,0.0,40.723,2.6,116.875,19.23,0.15,6.108,3.428,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 19.2°C.,-0.478,"[0.0, 0.0, 0.0007, -0.006, -0.0, -0.0048, 0.0, 0.0118, 0.0]"
2025-12-25 01:00:00+05:30,2025-12-25 01:00:00+05:30,0.071,0.428,44.42,20.0,99.996,1.004,0.0,43.921,2.6,128.181,18.77,0.177,7.77,3.319,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 18.8°C.,-0.478,"[0.0, 0.0, 0.0012, -0.0059, -0.0, -0.0048, 0.0027, 0.0114, 0.0]"
2025-12-25 02:00:00+05:30,2025-12-25 02:00:00+05:30,0.021,0.988,42.262,20.0,99.996,1.005,0.0,41.253,2.6,125.955,18.26,0.252,10.387,3.202,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 18.3°C.,-0.478,"[0.0, 0.0001, 0.0009, -0.0059, -0.0, -0.0048, 0.005, 0.0103, 0.0]"
2025-12-25 03:00:00+05:30,2025-12-25 03:00:00+05:30,0.085,2.366,42.403,20.0,99.996,1.005,0.0,39.952,2.6,129.662,18.66,0.359,14.326,3.293,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 18.7°C.,-0.478,"[0.0, 0.0002, 0.0009, -0.0059, -0.0, -0.0048, 0.0067, 0.0087, 0.0]"
2025-12-25 04:00:00+05:30,2025-12-25 04:00:00+05:30,0.04,1.332,49.096,20.0,99.996,1.005,0.0,47.724,2.6,164.886,19.48,0.475,22.669,3.49,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 19.5°C.,-0.478,"[0.0, 0.0001, 0.0018, -0.0058, -0.0, -0.0048, 0.008, 0.0064, 0.0]"
2025-12-25 05:00:00+05:30,2025-12-25 05:00:00+05:30,0.0,2.969,49.899,20.0,99.996,1.005,0.0,46.93,2.6,170.856,21.13,0.578,27.132,3.916,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 21.1°C.,-0.478,"[0.0, 0.0002, 0.002, -0.0058, -0.0, -0.0049, 0.0088, 0.0034, 0.0]"
2025-12-25 06:00:00+05:30,2025-12-25 06:00:00+05:30,0.0,5.401,63.378,20.0,99.996,1.005,0.0,57.977,5.6,392.504,20.33,0.65,37.685,3.703,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 20.3°C.,-0.478,"[0.0, 0.0001, 0.0037, -0.0058, -0.0, 0.0088, 0.0089, 0.0, 0.0]"
2025-12-25 07:00:00+05:30,2025-12-25 07:00:00+05:30,11.833,0.838,69.336,20.0,99.996,1.005,0.0,56.665,5.6,386.852,21.69,0.682,38.627,4.072,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 21.7°C.,-0.478,"[0.0013, 0.0001, 0.0045, -0.0058, -0.0, 0.0089, 0.0087, -0.0037, 0.0]"
2025-12-25 08:00:00+05:30,2025-12-25 08:00:00+05:30,28.088,1.645,75.918,20.0,99.996,1.005,0.0,46.185,5.6,314.751,23.94,0.675,31.175,4.75,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 23.9°C.,-0.478,"[0.0029, 0.0001, 0.0053, -0.0058, -0.0, 0.0089, 0.0081, -0.0074, 0.0]"
2025-12-25 09:00:00+05:30,2025-12-25 09:00:00+05:30,45.602,1.173,83.356,20.0,99.996,1.005,0.0,36.581,5.6,247.088,25.33,0.641,23.464,5.22,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 25.3°C.,-0.478,"[0.0044, 0.0001, 0.0062, -0.0059, -0.0, 0.009, 0.0069, -0.0109, 0.0]"
2025-12-25 10:00:00+05:30,2025-12-25 10:00:00+05:30,63.278,0.731,74.864,20.0,99.996,1.005,0.0,10.855,5.6,72.476,26.01,0.598,6.494,5.464,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 26.0°C.,-0.478,"[0.0057, 0.0001, 0.0052, -0.006, -0.0, 0.009, 0.0051, -0.0138, 0.0]"
2025-12-25 11:00:00+05:30,2025-12-25 11:00:00+05:30,71.778,0.48,68.008,20.0,99.996,1.005,0.0,0.0,5.6,0.0,26.55,0.563,0.0,5.664,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 26.5°C.,-0.478,"[0.0063, 0.0, 0.0044, -0.0061, -0.0, 0.0091, 0.0028, -0.0158, 0.0]"
2025-12-25 12:00:00+05:30,2025-12-25 12:00:00+05:30,71.332,0.287,68.317,20.0,99.996,1.005,0.0,0.0,5.6,0.0,28.39,0.55,0.0,6.405,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 28.4°C.,-0.478,"[0.0063, 0.0, 0.0044, -0.0061, -0.0, 0.0091, 0.0, -0.0165, 0.0]"
2025-12-25 13:00:00+05:30,2025-12-25 13:00:00+05:30,67.287,0.124,64.64,20.0,99.996,1.005,0.0,0.0,5.6,0.0,27.58,0.563,0.0,6.069,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 27.6°C.,-0.478,"[0.0061, 0.0, 0.0039, -0.0062, -0.0, 0.0092, -0.0031, -0.016, 0.0]"
2025-12-25 14:00:00+05:30,2025-12-25 14:00:00+05:30,63.146,0.046,68.342,20.0,99.996,1.005,0.0,5.15,5.6,34.385,28.37,0.598,3.081,6.398,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 28.4°C.,-0.478,"[0.0059, 0.0, 0.0044, -0.0063, -0.0, 0.0092, -0.0063, -0.0141, 0.0]"
2025-12-25 15:00:00+05:30,2025-12-25 15:00:00+05:30,51.628,0.02,69.835,20.0,99.996,1.005,0.0,18.187,5.6,122.845,27.56,0.641,11.666,6.061,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 27.6°C.,-0.478,"[0.0051, 0.0, 0.0046, -0.0063, -0.0, 0.0092, -0.0092, -0.0113, 0.0]"
2025-12-25 16:00:00+05:30,2025-12-25 16:00:00+05:30,29.86,0.0,72.565,20.0,99.996,1.005,0.0,42.705,5.6,291.034,27.56,0.675,28.826,6.062,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 27.6°C.,-0.478,"[0.0032, 0.0, 0.0049, -0.0063, -0.0, 0.0091, -0.0116, -0.0077, 0.0]"
2025-12-25 17:00:00+05:30,2025-12-25 17:00:00+05:30,13.536,0.0,74.233,20.0,99.996,1.005,0.0,60.697,5.6,414.378,26.2,0.682,41.375,5.537,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 26.2°C.,-0.478,"[0.0015, 0.0, 0.0051, -0.0063, -0.0, 0.0091, -0.0131, -0.0038, 0.0]"
2025-12-25 18:00:00+05:30,2025-12-25 18:00:00+05:30,0.181,0.0,88.135,20.0,99.996,1.005,0.0,87.954,9.2,912.083,26.64,0.65,57.17,5.702,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 26.6°C.,-0.478,"[0.0, 0.0, 0.0063, -0.0061, -0.0, 0.0218, -0.0134, 0.0, 0.0]"
2025-12-25 19:00:00+05:30,2025-12-25 19:00:00+05:30,0.024,0.0,92.396,20.0,99.996,1.005,0.0,92.372,9.2,945.949,25.79,0.578,53.404,5.385,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 25.8°C.,-0.478,"[0.0, 0.0, 0.0067, -0.006, -0.0, 0.0216, -0.0128, 0.0034, 0.0]"
2025-12-25 20:00:00+05:30,2025-12-25 20:00:00+05:30,0.0,0.0,93.067,20.0,99.995,1.005,0.0,93.067,9.2,935.789,23.79,0.475,44.207,4.703,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 23.8°C.,-0.478,"[0.0, 0.0, 0.0067, -0.006, -0.0, 0.0214, -0.0113, 0.0062, 0.0]"
2025-12-25 21:00:00+05:30,2025-12-25 21:00:00+05:30,0.002,0.0,84.728,20.0,99.995,1.005,0.0,84.726,9.2,834.165,22.67,0.359,30.381,4.354,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 22.7°C.,-0.478,"[0.0, 0.0, 0.0059, -0.0059, -0.0, 0.0213, -0.0089, 0.0084, 0.0]"
2025-12-25 22:00:00+05:30,2025-12-25 22:00:00+05:30,0.0,0.004,73.135,20.0,99.995,1.005,0.0,73.131,2.6,223.286,20.28,0.252,18.414,3.691,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 20.3°C.,-0.478,"[0.0, 0.0, 0.0049, -0.006, -0.0, -0.0048, -0.0061, 0.0106, 0.0]"
2025-12-25 23:00:00+05:30,2025-12-25 23:00:00+05:30,0.028,0.358,58.774,20.0,99.995,1.006,0.0,58.388,2.6,170.402,20.19,0.177,10.329,3.667,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 20.2°C.,-0.478,"[0.0, 0.0, 0.0031, -0.006, -0.0, -0.0048, -0.003, 0.0116, 0.0]"
2025-12-26 00:00:00+05:30,2025-12-26 00:00:00+05:30,0.039,0.211,45.631,20.0,99.995,1.006,0.0,45.381,2.6,130.243,20.01,0.15,6.807,3.622,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 20.0°C.,-0.478,"[0.0, 0.0, 0.0014, -0.006, -0.0, -0.0048, 0.0, 0.0118, 0.0]"
2025-12-26 01:00:00+05:30,2025-12-26 01:00:00+05:30,0.0,0.529,42.849,20.0,99.995,1.006,0.0,42.32,2.6,123.508,18.69,0.177,7.487,3.3,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 18.7°C.,-0.478,"[0.0, 0.0, 0.001, -0.0059, -0.0, -0.0048, 0.0027, 0.0114, 0.0]"
2025-12-26 02:00:00+05:30,2025-12-26 02:00:00+05:30,0.002,0.557,43.046,20.0,99.995,1.006,0.0,42.487,2.6,129.723,18.6,0.252,10.698,3.28,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 18.6°C.,-0.478,"[0.0, 0.0001, 0.001, -0.0059, -0.0, -0.0048, 0.005, 0.0103, 0.0]"
2025-12-26 03:00:00+05:30,2025-12-26 03:00:00+05:30,0.0,2.798,45.658,20.0,99.995,1.006,0.0,42.86,2.6,139.1,18.0,0.359,15.369,3.143,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 18.0°C.,-0.478,"[0.0, 0.0002, 0.0014, -0.0059, -0.0, -0.0048, 0.0067, 0.0087, 0.0]"
2025-12-26 04:00:00+05:30,2025-12-26 04:00:00+05:30,0.0,2.152,46.53,20.0,99.995,1.006,0.0,44.378,2.6,153.326,19.86,0.475,21.08,3.585,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 19.9°C.,-0.478,"[0.0, 0.0002, 0.0015, -0.0058, -0.0, -0.0048, 0.008, 0.0064, 0.0]"
2025-12-26 05:00:00+05:30,2025-12-26 05:00:00+05:30,0.05,3.084,50.321,20.0,99.995,1.006,0.0,47.187,2.6,171.791,19.78,0.578,27.281,3.565,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 19.8°C.,-0.478,"[0.0, 0.0002, 0.002, -0.0058, -0.0, -0.0048, 0.0088, 0.0034, 0.0]"
2025-12-26 06:00:00+05:30,2025-12-26 06:00:00+05:30,0.008,2.129,60.769,20.0,99.995,1.006,0.0,58.632,5.6,396.939,21.24,0.65,38.111,3.945,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 21.2°C.,-0.478,"[0.0, 0.0001, 0.0034, -0.0058, -0.0, 0.0088, 0.0089, 0.0, 0.0]"
2025-12-26 07:00:00+05:30,2025-12-26 07:00:00+05:30,13.201,2.053,71.417,20.0,99.995,1.006,0.0,56.163,5.6,383.425,21.15,0.682,38.284,3.92,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 21.1°C.,-0.478,"[0.0014, 0.0001, 0.0047, -0.0058, -0.0, 0.0089, 0.0087, -0.0037, 0.0]"
2025-12-26 08:00:00+05:30,2025-12-26 08:00:00+05:30,37.573,1.454,78.472,20.0,99.995,1.006,0.0,39.445,5.6,268.818,22.86,0.675,26.625,4.414,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 22.9°C.,-0.478,"[0.0037, 0.0001, 0.0056, -0.0058, -0.0, 0.0089, 0.008, -0.0074, 0.0]"
2025-12-26 09:00:00+05:30,2025-12-26 09:00:00+05:30,50.695,1.129,79.663,20.0,99.995,1.006,0.0,27.839,5.6,188.04,23.77,0.641,17.857,4.695,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 23.8°C.,-0.478,"[0.0048, 0.0001, 0.0058, -0.0059, -0.0, 0.009, 0.0069, -0.0109, 0.0]"
2025-12-26 10:00:00+05:30,2025-12-26 10:00:00+05:30,67.642,2.223,74.007,20.0,99.995,1.006,0.0,4.142,5.6,27.655,27.04,0.598,2.478,5.854,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 27.0°C.,-0.478,"[0.006, 0.0001, 0.0051, -0.006, -0.0, 0.009, 0.0051, -0.0138, 0.0]"
2025-12-26 11:00:00+05:30,2025-12-26 11:00:00+05:30,74.263,0.347,66.807,20.0,99.995,1.006,0.0,0.0,5.6,0.0,28.05,0.563,0.0,6.263,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 28.1°C.,-0.478,"[0.0064, 0.0, 0.0042, -0.0061, -0.0, 0.0091, 0.0028, -0.0158, 0.0]"
2025-12-26 12:00:00+05:30,2025-12-26 12:00:00+05:30,79.71,0.082,77.323,20.0,99.995,1.006,0.0,0.0,5.6,0.0,29.6,0.55,0.0,6.937,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 29.6°C.,-0.478,"[0.0067, 0.0, 0.0055, -0.0061, -0.0, 0.0091, 0.0, -0.0165, 0.0]"
2025-12-26 13:00:00+05:30,2025-12-26 13:00:00+05:30,70.289,0.043,66.089,20.0,99.995,1.006,0.0,0.0,5.6,0.0,27.86,0.563,0.0,6.184,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 27.9°C.,-0.478,"[0.0063, 0.0, 0.0041, -0.0062, -0.0, 0.0092, -0.0031, -0.0159, 0.0]"
2025-12-26 14:00:00+05:30,2025-12-26 14:00:00+05:30,60.34,0.018,64.429,20.0,99.995,1.006,0.0,4.071,5.6,27.181,27.27,0.598,2.435,5.946,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 27.3°C.,-0.478,"[0.0057, 0.0, 0.0039, -0.0063, -0.0, 0.0092, -0.0063, -0.0141, 0.0]"
2025-12-26 15:00:00+05:30,2025-12-26 15:00:00+05:30,45.739,0.0,70.182,20.0,99.995,1.006,0.0,24.443,5.6,165.102,29.03,0.641,15.678,6.682,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 29.0°C.,-0.478,"[0.0046, 0.0, 0.0046, -0.0063, -0.0, 0.0092, -0.0092, -0.0113, 0.0]"
2025-12-26 16:00:00+05:30,2025-12-26 16:00:00+05:30,29.808,0.0,72.962,20.0,99.995,1.006,0.0,43.154,5.6,294.094,27.89,0.675,29.129,6.196,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 27.9°C.,-0.478,"[0.0032, 0.0, 0.0049, -0.0063, -0.0, 0.0091, -0.0116, -0.0077, 0.0]"
2025-12-26 17:00:00+05:30,2025-12-26 17:00:00+05:30,11.903,0.0,69.957,20.0,99.995,1.006,0.0,58.054,5.6,396.335,27.58,0.682,39.574,6.068,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 27.6°C.,-0.478,"[0.0014, 0.0, 0.0045, -0.0063, -0.0, 0.0091, -0.0131, -0.0038, 0.0]"
2025-12-26 18:00:00+05:30,2025-12-26 18:00:00+05:30,0.0,0.002,84.099,20.0,99.995,1.006,0.0,84.097,9.2,872.086,25.95,0.65,54.663,5.444,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 26.0°C.,-0.478,"[0.0, 0.0, 0.0059, -0.0061, -0.0, 0.0218, -0.0134, 0.0, 0.0]"
2025-12-26 19:00:00+05:30,2025-12-26 19:00:00+05:30,0.0,0.0,99.62,20.0,99.995,1.006,0.0,99.62,9.2,1020.174,25.0,0.578,57.594,5.106,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 25.0°C.,-0.478,"[0.0, 0.0, 0.0074, -0.006, -0.0, 0.0215, -0.0129, 0.0034, 0.0]"
2025-12-26 20:00:00+05:30,2025-12-26 20:00:00+05:30,0.02,0.003,90.772,20.0,99.995,1.007,0.0,90.749,9.2,912.481,23.86,0.475,43.106,4.724,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 23.9°C.,-0.478,"[0.0, 0.0, 0.0065, -0.006, -0.0, 0.0214, -0.0113, 0.0062, 0.0]"
2025-12-26 21:00:00+05:30,2025-12-26 21:00:00+05:30,0.0,0.002,88.295,20.0,99.995,1.007,0.0,88.293,9.2,869.283,22.77,0.359,31.66,4.386,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 22.8°C.,-0.478,"[0.0, 0.0, 0.0063, -0.0059, -0.0, 0.0213, -0.0089, 0.0084, 0.0]"
2025-12-26 22:00:00+05:30,2025-12-26 22:00:00+05:30,0.0,0.0,74.789,20.0,99.995,1.007,0.0,74.789,2.6,228.348,19.96,0.252,18.831,3.609,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 20.0°C.,-0.478,"[0.0, 0.0, 0.0051, -0.006, -0.0, -0.0048, -0.0061, 0.0106, 0.0]"
2025-12-26 23:00:00+05:30,2025-12-26 23:00:00+05:30,0.0,0.002,57.335,20.0,99.994,1.007,0.0,57.333,2.6,167.323,21.04,0.177,10.143,3.89,idle,PIS-PPO: BESS idle. Directing green power to facility load. Temp: 21.0°C.,-0.478,"[0.0, 0.0, 0.0029, -0.006, -0.0, -0.0048, -0.003, 0.0116, 0.0]"
